,STATE,WORKSITE,PREVAILING_WAGE
2048,TEXAS,GALVESTON,93621.0
2067,TEXAS,LIVE OAK,81037.0
2005,TEXAS,BAYTOWN,78090.0
2124,UTAH,CLEARFIELD,82430.0
2134,UTAH,RIVERTON,76835.0
2131,UTAH,PLEASANT GROVE,70054.5
2143,VERMONT,DALLAS,63690.0
2147,VERMONT,WILLISTON,56014.0
2145,VERMONT,NORFOLK,55016.0
2170,VIRGINIA,GAINESVILLE,92477.0
2199,VIRGINIA,VIRGINIA,82534.0
2197,VIRGINIA,TYSONS CORNER,76502.0
2202,WASHINGTON,AUBURN,119766.0
2210,WASHINGTON,EVERETT,101384.0
2217,WASHINGTON,KIRKLAND,98914.16666666667
2242,WESTVIRGINIA,CHARLES TOWN,76502.0
2248,WESTVIRGINIA,RANSON,60549.0
2247,WESTVIRGINIA,NEW MARTINSVILLE,60000.0
2254,WISCONSIN,BOTHELL,100984.0
2274,WISCONSIN,MARSHFIELD,80870.0
2263,WISCONSIN,FOND DU LAC,78686.0
2297,WYOMING,CHEYENNE,57491.0
2296,WYOMING,CASPER,50482.0
