,Awards,Nominated_BAFTA,Winner_BAFTA,Winner_OSCAR,Nominated_OSCAR,Winner_Emmy,Nominated_Emmy,Winner_Globes,Nominated_Globes,Awards_Won,Nominations
345,nominated for 3 primetime emmys. another 2 wins & 7 nominations.,0,0,0,0,0,3,0,0,2,7
346,won 1 primetime emmy. another 1 win & 13 nominations.,0,0,0,0,1,0,0,0,1,13
347,won 4 primetime emmys. another 1 win & 6 nominations.,0,0,0,0,4,0,0,0,1,6
348,3 wins & 19 nominations.,0,0,0,0,0,0,0,0,3,19
349,5 wins & 8 nominations.,0,0,0,0,0,0,0,0,5,8
350,nominated for 3 primetime emmys. another 12 nominations.,0,0,0,0,0,3,0,0,0,12
351,won 1 golden globe. another 4 wins & 9 nominations.,0,0,0,0,0,0,1,0,4,9
352,nominated for 1 golden globe. another 3 wins & 8 nominations.,0,0,0,0,0,0,0,1,3,8
353,won 2 golden globes. another 15 wins & 26 nominations.,0,0,0,0,0,0,2,0,15,26
354,nominated for 1 oscar. another 5 wins & 15 nominations.,0,0,0,1,0,0,0,0,5,15
355,nominated for 4 primetime emmys. another 1 win & 1 nomination.,0,0,0,0,0,4,0,0,1,1
356,nominated for 2 primetime emmys. another 3 nominations.,0,0,0,0,0,2,0,0,0,3
357,nominated for 1 primetime emmy. another 1 win.,0,0,0,0,0,1,0,0,1,0
358,5 wins & 13 nominations.,0,0,0,0,0,0,0,0,5,13
359,3 wins & 22 nominations.,0,0,0,0,0,0,0,0,3,22
360,nominated for 1 oscar. another 1 win & 3 nominations.,0,0,0,1,0,0,0,0,1,3
361,nominated for 1 oscar. another 1 nomination.,0,0,0,1,0,0,0,0,0,1
