,Awards,Nominated_BAFTA,Winner_BAFTA,Winner_OSCAR,Nominated_OSCAR,Winner_Emmy,Nominated_Emmy,Winner_Globes,Nominated_Globes,Awards_Won,Nominations
85,27 wins & 31 nominations.,0,0,0,0,0,0,0,0,27,31
86,nominated for 1 oscar. another 11 wins & 24 nominations.,0,0,0,1,0,0,0,0,11,24
87,21 nominations.,0,0,0,0,0,0,0,0,0,21
88,7 wins & 9 nominations.,0,0,0,0,0,0,0,0,7,9
89,3 wins & 32 nominations.,0,0,0,0,0,0,0,0,3,32
90,4 wins & 6 nominations.,0,0,0,0,0,0,0,0,4,6
91,won 6 golden globes. another 80 wins & 310 nominations.,0,0,0,0,0,0,6,0,80,310
92,18 wins & 7 nominations.,0,0,0,0,0,0,0,0,18,7
93,nominated for 3 golden globes. another 3 wins & 23 nominations.,0,0,0,0,0,0,0,3,3,23
94,5 wins & 25 nominations.,0,0,0,0,0,0,0,0,5,25
95,11 wins.,0,0,0,0,0,0,0,0,11,0
96,5 wins & 9 nominations.,0,0,0,0,0,0,0,0,5,9
97,5 wins & 7 nominations.,0,0,0,0,0,0,0,0,5,7
98,4 wins & 5 nominations.,0,0,0,0,0,0,0,0,4,5
99,36 wins & 20 nominations.,0,0,0,0,0,0,0,0,36,20
100,5 wins & 6 nominations.,0,0,0,0,0,0,0,0,5,6
101,2 wins & 19 nominations.,0,0,0,0,0,0,0,0,2,19
102,nominated for 2 oscars. another 23 wins & 99 nominations.,0,0,0,2,0,0,0,0,23,99
103,10 wins & 24 nominations.,0,0,0,0,0,0,0,0,10,24
104,26 wins & 18 nominations.,0,0,0,0,0,0,0,0,26,18
105,nominated for 5 oscars. another 26 wins & 88 nominations.,0,0,0,5,0,0,0,0,26,88
106,nominated for 1 oscar. another 2 wins & 4 nominations.,0,0,0,1,0,0,0,0,2,4
107,nominated for 1 oscar. another 2 wins & 14 nominations.,0,0,0,1,0,0,0,0,2,14
108,28 wins & 16 nominations.,0,0,0,0,0,0,0,0,28,16
109,won 1 golden globe. another 10 wins & 57 nominations.,0,0,0,0,0,0,1,0,10,57
110,2 wins & 17 nominations.,0,0,0,0,0,0,0,0,2,17
111,26 wins & 24 nominations.,0,0,0,0,0,0,0,0,26,24
112,won 1 primetime emmy. another 3 wins & 3 nominations.,0,0,0,0,1,0,0,0,3,3
113,nominated for 1 oscar. another 5 wins & 1 nomination.,0,0,0,1,0,0,0,0,5,1
114,nominated for 1 oscar. another 1 win.,0,0,0,1,0,0,0,0,1,0
115,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
116,won 6 oscars. another 48 wins & 28 nominations.,0,0,6,0,0,0,0,0,48,28
117,12 wins & 20 nominations.,0,0,0,0,0,0,0,0,12,20
118,nominated for 2 golden globes. another 1 win & 4 nominations.,0,0,0,0,0,0,0,2,1,4
119,4 wins & 12 nominations.,0,0,0,0,0,0,0,0,4,12
120,nominated for 4 oscars. another 28 wins & 116 nominations.,0,0,0,4,0,0,0,0,28,116
121,won 1 oscar. another 7 wins & 29 nominations.,0,0,1,0,0,0,0,0,7,29
122,nominated for 2 oscars. another 25 wins & 58 nominations.,0,0,0,2,0,0,0,0,25,58
123,6 wins & 10 nominations.,0,0,0,0,0,0,0,0,6,10
124,won 1 golden globe. another 5 wins & 17 nominations.,0,0,0,0,0,0,1,0,5,17
125,nominated for 3 golden globes. another 1 win & 25 nominations.,0,0,0,0,0,0,0,3,1,25
126,1 win & 7 nominations.,0,0,0,0,0,0,0,0,1,7
127,5 wins & 1 nomination.,0,0,0,0,0,0,0,0,5,1
128,7 nominations.,0,0,0,0,0,0,0,0,0,7
129,nominated for 1 primetime emmy. another 4 wins & 17 nominations.,0,0,0,0,0,1,0,0,4,17
130,3 wins & 10 nominations.,0,0,0,0,0,0,0,0,3,10
131,nominated for 2 primetime emmys. another 8 wins & 14 nominations.,0,0,0,0,0,2,0,0,8,14
132,7 wins & 8 nominations.,0,0,0,0,0,0,0,0,7,8
133,11 wins & 6 nominations.,0,0,0,0,0,0,0,0,11,6
134,1 win & 12 nominations.,0,0,0,0,0,0,0,0,1,12
135,5 wins & 11 nominations.,0,0,0,0,0,0,0,0,5,11
